Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 20:44:55.753618,7.0,45.9,7836.85632,716,67
2024-05-29 20:45:01.005688,7.1,45.9,7835.766784,716,67
2024-05-29 20:45:06.240198,6.8,45.9,7838.982144,716,67
2024-05-29 20:45:11.488471,6.9,45.9,7838.568448,716,67
2024-05-29 20:45:16.738715,7.7,45.9,7839.551488,716,67
2024-05-29 20:45:22.004376,6.7,45.8,7814.873088,716,67
2024-05-29 20:45:27.252916,6.7,45.8,7822.802944,716,67
2024-05-29 20:45:32.516193,6.8,45.8,7814.946816,716,67
2024-05-29 20:45:37.769605,6.5,45.8,7817.351168,716,67
2024-05-29 20:45:43.019562,7.2,45.8,7816.286208,716,67
2024-05-29 20:45:48.256412,7.9,45.8,7818.842112,716,67
2024-05-29 20:45:53.489087,6.4,45.8,7818.559488,716,67
2024-05-29 20:45:58.735026,7.8,45.8,7821.320192,716,67
2024-05-29 20:46:03.988317,7.4,45.6,7785.046016,716,67
2024-05-29 20:46:09.238941,7.5,45.6,7787.491328,716,67
2024-05-29 20:46:14.486987,7.4,45.6,7785.86112,716,67
2024-05-29 20:46:19.724542,7.5,45.6,7784.194048,716,67
2024-05-29 20:46:24.957513,7.2,45.6,7787.9296,716,67
2024-05-29 20:46:30.191511,6.8,45.6,7785.2672,716,67
2024-05-29 20:46:35.442543,6.7,45.6,7789.457408,716,67
2024-05-29 20:46:40.690180,6.9,45.6,7787.651072,716,67
2024-05-29 20:46:45.942896,7.0,45.6,7790.559232,716,67
2024-05-29 20:46:51.201739,7.3,45.6,7790.985216,716,67
2024-05-29 20:46:56.443022,7.1,45.6,7791.45216,716,67
2024-05-29 20:47:01.688072,7.1,45.6,7787.986944,716,67
2024-05-29 20:47:06.927822,7.3,45.6,7790.870528,716,67
2024-05-29 20:47:12.172448,6.9,45.6,7789.973504,716,67
2024-05-29 20:47:17.426600,7.1,45.6,7791.460352,716,67
2024-05-29 20:47:22.676221,6.3,45.6,7789.703168,716,67
2024-05-29 20:47:27.909933,7.3,45.7,7794.311168,716,67
2024-05-29 20:47:33.171821,6.8,45.7,7797.690368,716,67
2024-05-29 20:47:38.440996,7.4,45.7,7796.649984,716,67
2024-05-29 20:47:43.676440,8.0,45.7,7799.984128,716,67
2024-05-29 20:47:48.940642,7.0,45.7,7795.6096,716,67
2024-05-29 20:47:54.190852,7.3,45.7,7799.58272,716,67
2024-05-29 20:47:59.428197,7.2,45.7,7798.452224,716,67
2024-05-29 20:48:04.676583,6.9,45.7,7801.81504,716,67
2024-05-29 20:48:09.925273,6.8,45.7,7800.594432,716,67
2024-05-29 20:48:15.188598,6.7,45.7,7803.379712,716,67
2024-05-29 20:48:20.458683,6.8,45.7,7800.91392,716,67
2024-05-29 20:48:25.692123,7.3,45.8,7813.521408,716,67
2024-05-29 20:48:30.936966,7.4,45.7,7810.588672,716,67
2024-05-29 20:48:36.192603,6.9,45.7,7808.372736,716,67
2024-05-29 20:48:41.440456,7.3,45.8,7812.399104,716,67
2024-05-29 20:48:46.692954,7.1,45.7,7810.629632,716,67
2024-05-29 20:48:51.955774,7.3,45.8,7814.807552,716,67
2024-05-29 20:48:57.208573,6.4,45.8,7817.80992,716,67
2024-05-29 20:49:02.455625,7.1,45.8,7818.36288,716,67
2024-05-29 20:49:07.692285,7.3,45.8,7820.177408,716,67
2024-05-29 20:49:12.957697,7.5,45.8,7823.224832,716,67
2024-05-29 20:49:18.222722,7.3,45.8,7819.845632,716,67
2024-05-29 20:49:23.456954,6.8,45.8,7819.624448,716,67
2024-05-29 20:49:28.705346,6.6,45.8,7820.066816,716,67
2024-05-29 20:49:33.956818,6.3,45.8,7818.231808,716,67
2024-05-29 20:49:39.209781,7.6,45.8,7821.852672,716,67
2024-05-29 20:49:44.442808,6.9,45.8,7820.632064,716,67
2024-05-29 20:49:49.699119,7.7,45.8,7818.665984,716,67
2024-05-29 20:49:54.957164,7.1,45.7,7810.224128,716,67
2024-05-29 20:50:00.208055,7.1,45.8,7811.063808,716,67
2024-05-29 20:50:05.457014,6.7,45.8,7823.253504,716,67
2024-05-29 20:50:10.706912,7.3,45.8,7825.75616,716,67
2024-05-29 20:50:15.926406,7.2,45.8,7822.024704,716,67
2024-05-29 20:50:21.175728,6.7,45.8,7825.133568,716,67
2024-05-29 20:50:26.426235,7.9,45.8,7824.027648,716,67
2024-05-29 20:50:31.689413,7.2,45.8,7827.341312,716,67
2024-05-29 20:50:36.921004,8.3,45.8,7822.635008,716,67
2024-05-29 20:50:42.159523,6.9,45.8,7824.134144,716,67
